descArea,codRisco,idMtzRisco,descricao,a_sistema,gau_de_risco,bgcolor,fgcolor,ProcessoPri,programas,processoSec,programasSec
"Caixa e Bancos",CB06,73,"Pode ocultar diferenças entre pagamentos bancários e lançamentos de registros de contas a pagar.",D,ALTO,#ff0000,#000000,"Reconciliação Bancária","bas_cta_corren_concil | bas_extrat_cta_corren | bas_extrat_cta_corren_import","Reconciliação Bancária","bas_cta_corren_concil | bas_extrat_cta_corren | bas_extrat_cta_corren_import"
"Caixa e Bancos",CD01,74,"Realizar a função de aprovação de crédito e modififcar montante recebido para fins fraudulentos.",D,ALTO,#ff0000,#000000,"Gestão de Crédito","cm0102 | cm0201 | cm0202","Pagamentos (Contas a Receber)","bas_lote_liquidac_acr | bas_tit_acr_alteracao | bas_tit_acr_estorno | fnc_liquidac_tit_acr | rpt_item_lote_liquidac_acr_cobr_escr"
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,ALTO,#ff0000,#000000,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346"
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,BAIXO,#3a309c,#f9f9f9,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Receber a nota fiscal","re0190 | re0402 | re1001 | re1005 | re2001"
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,BAIXO,#3a309c,#f9f9f9,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Processo de Pagamento e Baixa de Títulos","bas_bord_ap | bas_bord_ap_confirmacao | bas_cheq_ap_confirmacao | bas_lote_pagto"
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,BAIXO,#3a309c,#f9f9f9,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Cancelamento de Títulos",bas_tit_ap_estorno
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,ALTO,#ff0000,#000000,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204"
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,MEDIO,#FF8C00,#FFFF,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Aprovar Realização da Compra","cd1720a | oc0205"
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,ALTO,#ff0000,#000000,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Alterar perfis de acesso para o recebimento",re0101
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,ALTO,#ff0000,#000000,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Aprovar alterações de perfil de acesso para o recebimento",re0101
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,ALTO,#ff0000,#000000,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Receber o material comprado fisicamente","re2001 | re2005 | re2006"
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,MEDIO,#FF8C00,#FFFF,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Integração Com O Contas a Pagar",re0404
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,ALTO,#ff0000,#000000,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Registrar Título Manual","bas_antecip_pef_pend_pef | bas_lote_impl_tit_ap | bas_lote_impl_tit_ap_previsao"
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,ALTO,#ff0000,#000000,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Registrar Adiantamento",bas_antecip_pef_pend
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,ALTO,#ff0000,#000000,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Alteração de Valor Títulos",bas_tit_ap_alteracao
Compras,SODCC01,1,"O usuário pode criar um fornecedor fictício e criar um pagamento inadequado para o fornecedor. O usuário pode alterar os detalhes do pagamento do fornecedor existente para desviar os pagamentos, O usuário pode criar um fornecedor inapropriado e encomendar produtos deles.",D,MEDIO,#FF8C00,#FFFF,"Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401","Permissão para Inclusão/Alteração/Pagamento/Cancelamento",bas_usuar_financ_estab_apb
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,ALTO,#ff0000,#000000,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401"
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,ALTO,#ff0000,#000000,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204"
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,MEDIO,#FF8C00,#FFFF,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Aprovar Realização da Compra","cd1720a | oc0205"
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,ALTO,#ff0000,#000000,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Alterar perfis de acesso para o recebimento",re0101
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,ALTO,#ff0000,#000000,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Aprovar alterações de perfil de acesso para o recebimento",re0101
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,ALTO,#ff0000,#000000,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Receber o material comprado fisicamente","re2001 | re2005 | re2006"
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,ALTO,#ff0000,#000000,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Receber a nota fiscal","re0190 | re0402 | re1001 | re1005 | re2001"
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,MEDIO,#FF8C00,#FFFF,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Integração Com O Contas a Pagar",re0404
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,ALTO,#ff0000,#000000,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Registrar Título Manual","bas_antecip_pef_pend_pef | bas_lote_impl_tit_ap | bas_lote_impl_tit_ap_previsao"
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,ALTO,#ff0000,#000000,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Registrar Adiantamento",bas_antecip_pef_pend
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,MEDIO,#FF8C00,#FFFF,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Alteração de Valor Títulos",bas_tit_ap_alteracao
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,MEDIO,#FF8C00,#FFFF,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Processo de Pagamento e Baixa de Títulos","bas_bord_ap | bas_bord_ap_confirmacao | bas_cheq_ap_confirmacao | bas_lote_pagto"
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,MEDIO,#FF8C00,#FFFF,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Cancelamento de Títulos",bas_tit_ap_estorno
Compras,SODCC02,2,"O usuário pode criar uma ordem fictícia e entrar uma fatura contra ela, provocando um pagamento inadequado",D,ALTO,#ff0000,#000000,"Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346","Permissão para Inclusão/Alteração/Pagamento/Cancelamento",bas_usuar_financ_estab_apb
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,ALTO,#ff0000,#000000,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401"
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,ALTO,#ff0000,#000000,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346"
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,MEDIO,#FF8C00,#FFFF,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Aprovar Realização da Compra","cd1720a | oc0205"
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,ALTO,#ff0000,#000000,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Alterar perfis de acesso para o recebimento",re0101
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,ALTO,#ff0000,#000000,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Aprovar alterações de perfil de acesso para o recebimento",re0101
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,ALTO,#ff0000,#000000,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Receber o material comprado fisicamente","re2001 | re2005 | re2006"
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,ALTO,#ff0000,#000000,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Receber a nota fiscal","re0190 | re0402 | re1001 | re1005 | re2001"
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,MEDIO,#FF8C00,#FFFF,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Integração Com O Contas a Pagar",re0404
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,ALTO,#ff0000,#000000,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Registrar Título Manual","bas_antecip_pef_pend_pef | bas_lote_impl_tit_ap | bas_lote_impl_tit_ap_previsao"
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,ALTO,#ff0000,#000000,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Registrar Adiantamento",bas_antecip_pef_pend
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,MEDIO,#FF8C00,#FFFF,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Alteração de Valor Títulos",bas_tit_ap_alteracao
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,MEDIO,#FF8C00,#FFFF,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Processo de Pagamento e Baixa de Títulos","bas_bord_ap | bas_bord_ap_confirmacao | bas_cheq_ap_confirmacao | bas_lote_pagto"
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,MEDIO,#FF8C00,#FFFF,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Cancelamento de Títulos",bas_tit_ap_estorno
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,ALTO,#ff0000,#000000,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Permissão para Inclusão/Alteração/Pagamento/Cancelamento",bas_usuar_financ_estab_apb
Compras,SODCC03,3,"O usuário pode criar uma ordem fictícia e uma entrada de mercadorias contra ela. Ao receber uma fatura fictícia, os itens combinarão e o pagamento inapropriado será feito.",D,BAIXO,#3a309c,#f9f9f9,"Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204","Manutenção de Crédito de Clientes","cm0101 | cm0102 | cm0202"
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,BAIXO,#3a309c,#f9f9f9,"Aprovar Realização da Compra","cd1720a | oc0205","Aprovar Realização da Compra","cd1720a | oc0205"
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,BAIXO,#3a309c,#f9f9f9,"Aprovar Realização da Compra","cd1720a | oc0205","Manutenção de Crédito de Clientes","cm0101 | cm0102 | cm0202"
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Realizar a Compra","cc0300 | cc0311 | cn0304 | oc0201 | oc0202 | oc0203 | oc0204"
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Gera relatório da folha",fp4000
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Cadastrar Fornecedor","bas_fornecedor_fin | bas_fornec_financ | bas_fornec_financ_fin | bas_pessoa_fisic | bas_pessoa_jurid | bas_tip_fornec | bas_tip_fornec_fin | cd0401"
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Solicitar Compra","cc0117 | cc0301 | cc0309 | cc0325 | ce0340 | ce0341 | ce0346"
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Alterar perfis de acesso para o recebimento",re0101
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Aprovar alterações de perfil de acesso para o recebimento",re0101
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Receber o material comprado fisicamente","re2001 | re2005 | re2006"
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Receber a nota fiscal","re0190 | re0402 | re1001 | re1005 | re2001"
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Integração Com O Contas a Pagar",re0404
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Registrar Título Manual","bas_antecip_pef_pend_pef | bas_lote_impl_tit_ap | bas_lote_impl_tit_ap_previsao"
Compras,SODCC04,4,"O usuário pode criar e aprovar uma ordem de compra.",D,MEDIO,#FF8C00,#FFFF,"Aprovar Realização da Compra","cd1720a | oc0205","Registrar Adiantamento",bas_antecip_pef_pend
